//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;HwError;;;%IX0.0;Regul_Bus_OS
Application.Crate_CU.xCrateHwError;HwError;;;%IX0.1;R500_
Application.Crate_CU.xInLinkOk;Линк порта IN;;;%IX0.2;A0_31
Application.Crate_CU.xInHwError;HwError;;;%IX0.3;A0_31
Application.Crate_CU.xPPExternalOk_1;Наличие внешнего питания;;;%IX0.4;G0_11
Application.Crate_CU.xPPHwError_1;HwError;;;%IX0.5;G0_11
Application.Crate_CU.wCULinkStatus_1;Link Status;;;%IW1;A0_11
Application.Crate_CU.xCUHwError_1;HwError;;;%IX4.0;A0_11
Application.Crate_CU.wCULinkStatus_2;Link Status;;;%IW3;A0_12
Application.Crate_CU.xCUHwError_2;HwError;;;%IX8.0;A0_12
Application.Crate_CU.arstAI[1].Inputs[1];Канал 1;;;%ID3;A0_21
;Значение;;;%ID3;A0_21
;Статус;;;%IB16;A0_21
;Бракование канала;;;%IX16.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины;;;%IX16.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины;;;%IX16.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины;;;%IX16.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины;;;%IX16.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП;;;%IX16.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП;;;%IX16.6;A0_21
;Неисправность канала;;;%IX16.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[2];Канал 2;;;%ID5;A0_21
;Значение@1;;;%ID5;A0_21
;Статус@1;;;%IB24;A0_21
;Бракование канала@1;;;%IX24.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@1;;;%IX24.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@1;;;%IX24.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@1;;;%IX24.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@1;;;%IX24.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@1;;;%IX24.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@1;;;%IX24.6;A0_21
;Неисправность канала@1;;;%IX24.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[3];Канал 3;;;%ID7;A0_21
;Значение@2;;;%ID7;A0_21
;Статус@2;;;%IB32;A0_21
;Бракование канала@2;;;%IX32.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@2;;;%IX32.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@2;;;%IX32.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@2;;;%IX32.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@2;;;%IX32.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@2;;;%IX32.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@2;;;%IX32.6;A0_21
;Неисправность канала@2;;;%IX32.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[4];Канал 4;;;%ID9;A0_21
;Значение@3;;;%ID9;A0_21
;Статус@3;;;%IB40;A0_21
;Бракование канала@3;;;%IX40.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@3;;;%IX40.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@3;;;%IX40.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@3;;;%IX40.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@3;;;%IX40.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@3;;;%IX40.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@3;;;%IX40.6;A0_21
;Неисправность канала@3;;;%IX40.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[5];Канал 5;;;%ID11;A0_21
;Значение@4;;;%ID11;A0_21
;Статус@4;;;%IB48;A0_21
;Бракование канала@4;;;%IX48.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@4;;;%IX48.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@4;;;%IX48.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@4;;;%IX48.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@4;;;%IX48.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@4;;;%IX48.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@4;;;%IX48.6;A0_21
;Неисправность канала@4;;;%IX48.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[6];Канал 6;;;%ID13;A0_21
;Значение@5;;;%ID13;A0_21
;Статус@5;;;%IB56;A0_21
;Бракование канала@5;;;%IX56.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@5;;;%IX56.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@5;;;%IX56.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@5;;;%IX56.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@5;;;%IX56.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@5;;;%IX56.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@5;;;%IX56.6;A0_21
;Неисправность канала@5;;;%IX56.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[7];Канал 7;;;%ID15;A0_21
;Значение@6;;;%ID15;A0_21
;Статус@6;;;%IB64;A0_21
;Бракование канала@6;;;%IX64.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@6;;;%IX64.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@6;;;%IX64.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@6;;;%IX64.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@6;;;%IX64.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@6;;;%IX64.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@6;;;%IX64.6;A0_21
;Неисправность канала@6;;;%IX64.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[8];Канал 8;;;%ID17;A0_21
;Значение@7;;;%ID17;A0_21
;Статус@7;;;%IB72;A0_21
;Бракование канала@7;;;%IX72.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@7;;;%IX72.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@7;;;%IX72.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@7;;;%IX72.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@7;;;%IX72.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@7;;;%IX72.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@7;;;%IX72.6;A0_21
;Неисправность канала@7;;;%IX72.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[9];Канал 9;;;%ID19;A0_21
;Значение@8;;;%ID19;A0_21
;Статус@8;;;%IB80;A0_21
;Бракование канала@8;;;%IX80.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@8;;;%IX80.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@8;;;%IX80.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@8;;;%IX80.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@8;;;%IX80.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@8;;;%IX80.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@8;;;%IX80.6;A0_21
;Неисправность канала@8;;;%IX80.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[10];Канал 10;;;%ID21;A0_21
;Значение@9;;;%ID21;A0_21
;Статус@9;;;%IB88;A0_21
;Бракование канала@9;;;%IX88.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@9;;;%IX88.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@9;;;%IX88.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@9;;;%IX88.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@9;;;%IX88.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@9;;;%IX88.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@9;;;%IX88.6;A0_21
;Неисправность канала@9;;;%IX88.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[11];Канал 11;;;%ID23;A0_21
;Значение@10;;;%ID23;A0_21
;Статус@10;;;%IB96;A0_21
;Бракование канала@10;;;%IX96.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@10;;;%IX96.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@10;;;%IX96.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@10;;;%IX96.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@10;;;%IX96.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@10;;;%IX96.5;A0_21
;Недостоверность канала по выходу за нижнюю границу АЦП@10;;;%IX96.6;A0_21
;Неисправность канала@10;;;%IX96.7;A0_21
Application.Crate_CU.arstAI[1].Inputs[12];Канал 12;;;%ID25;A0_21
;Значение@11;;;%ID25;A0_21
;Статус@11;;;%IB104;A0_21
;Бракование канала@11;;;%IX104.0;A0_21
;Выход сигнала за верхнюю границу измерения инженерной величины@11;;;%IX104.1;A0_21
;Выход сигнала за нижнюю границу измерения инженерной величины@11;;;%IX104.2;A0_21
;Выход сигнала за верхнюю границу измерения электрической величины@11;;;%IX104.3;A0_21
;Выход сигнала за нижнюю границу измерения электрической величины@11;;;%IX104.4;A0_21
;Недостоверность канала по выходу за верхнюю границу АЦП@11;;;%IX104.5;A0_21
