Cmp=CmpApp, C=1, E=0, M="User: '1', App Create boot project successful"
26.09.2024 05:52:30.526: Cmp=CmpApp, C=1, E=0, M="User: '1', App Create boot project successful"
26.09.2024 05:52:30.726: Cmp=CmpApp, C=1, E=0, M="User: '1', App Create boot project successful"
26.09.2024 05:52:30.821: Cmp=CmpApp, C=1, E=0, M="User: '1', App Create boot project successful"
26.09.2024 05:52:31.932: Cmp=CmpApp, C=1, E=0, M="User: '1', App Create boot project successful"
26.09.2024 06:00:07.865: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Logout (0)"
26.09.2024 06:02:19.920: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Login (1)"
26.09.2024 06:13:04.286: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Logout (0)"
26.09.2024 06:13:29.233: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Login (1)"
26.09.2024 06:32:47.830: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Logout (0)"
26.09.2024 06:35:31.487: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Login (1)"
26.09.2024 06:36:36.011: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Logout (0)"
26.09.2024 06:51:11.372: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Login (1)"
26.09.2024 06:51:11.407: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Logout (0)"
26.09.2024 06:51:15.022: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Login (1)"
26.09.2024 06:52:17.407: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Logout (0)"
26.09.2024 06:56:31.355: Cmp=CmpUserMgr, C=1, E=0, M="User: '1', Login (1)"
26.09.2024 06:57:17.448: Cmp=CmpApp, C=1, E=0, M="User: '1', App Reinitialize for Download successful"
26.09.2024 06:57:27.734: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:27.734: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:27.807: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:27.807: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:27.881: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:27.881: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:27.958: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:27.958: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.022: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.022: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.119: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.120: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.192: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.193: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.257: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.257: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.340: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.341: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.412: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.412: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.495: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.495: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.565: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.565: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.629: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.629: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.704: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.704: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.796: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.796: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.911: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.911: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:28.989: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:28.989: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
26.09.2024 06:57:29.060: Cmp=CmpApp, C=1, E=0, M="User: '1', App Download successful [Application], create bootproject: 1"
26.09.2024 06:57:29.060: Cmp=CmpApp, C=1, E=0, M="User: '1', App CodeGUID: 69dc7c10-0000-0000-0000-000000000000, DataGUID: beb8468a-0000-0000-0000-000000000000"
