25.04.2024 04:58:50.409: ================================================NEW LOG SESSION===================================================
25.04.2024 04:58:50.443: pflog in      pflog out              
25.04.2024 04:58:50.443:  packets  errs  packets  errs colls
25.04.2024 04:58:50.443:        0     0        0     0     0
25.04.2024 04:59:50.326:        0     0        0     0     0
25.04.2024 05:00:50.326:        0     0        0     0     0
08.05.2024 08:13:28.192: ================================================NEW LOG SESSION===================================================
08.05.2024 08:13:28.212: pflog in      pflog out              
08.05.2024 08:13:28.212:  packets  errs  packets  errs colls
08.05.2024 08:13:28.212:        0     0        0     0     0
08.05.2024 08:14:28.117:        0     0        0     0     0
08.05.2024 08:15:28.117:        0     0        0     0     0
08.05.2024 08:16:28.118:        0     0        0     0     0
08.05.2024 08:17:28.117:        0     0        0     0     0
08.05.2024 08:18:28.117:        0     0        0     0     0
08.05.2024 08:19:28.121:        0     0        0     0     0
08.05.2024 08:20:28.117:        0     0        0     0     0
08.05.2024 08:21:28.117:        0     0        0     0     0
08.05.2024 08:22:28.117:        0     0        0     0     0
08.05.2024 08:23:28.117:        0     0        0     0     0
08.05.2024 08:24:28.117:        0     0        0     0     0
08.05.2024 08:25:28.117:        0     0        0     0     0
08.05.2024 08:26:28.117:        0     0        0     0     0
08.05.2024 08:27:28.117:        0     0        0     0     0
08.05.2024 08:28:28.117:        0     0        0     0     0
08.05.2024 08:29:28.117:        0     0        0     0     0
08.05.2024 08:30:28.117:        0     0        0     0     0
08.05.2024 08:31:28.117:        0     0        0     0     0
08.05.2024 08:32:28.117:        0     0        0     0     0
08.05.2024 08:33:28.117:        0     0        0     0     0
08.05.2024 08:34:28.117: pflog in      pflog out              
08.05.2024 08:34:28.118:  packets  errs  packets  errs colls
08.05.2024 08:34:28.118:        0     0        0     0     0
08.05.2024 08:35:28.117:        0     0        0     0     0
08.05.2024 08:36:28.117:        0     0        0     0     0
08.05.2024 08:37:28.117:        0     0        0     0     0
08.05.2024 08:38:28.117:        0     0        0     0     0
08.05.2024 08:39:28.117:        0     0        0     0     0
08.05.2024 08:40:28.117:        0     0        0     0     0
08.05.2024 08:41:28.117:        0     0        0     0     0
08.05.2024 08:42:28.117:        0     0        0     0     0
08.05.2024 08:43:28.117:        0     0        0     0     0
08.05.2024 08:44:28.117:        0     0        0     0     0
08.05.2024 08:45:28.117:        0     0        0     0     0
08.05.2024 08:46:28.117:        0     0        0     0     0
08.05.2024 08:47:28.117:        0     0        0     0     0
08.05.2024 08:48:28.117:        0     0        0     0     0
08.05.2024 08:49:28.117:        0     0        0     0     0
08.05.2024 08:50:28.117:        0     0        0     0     0
08.05.2024 08:51:28.117:        0     0        0     0     0
08.05.2024 08:52:28.117:        0     0        0     0     0
08.05.2024 08:53:28.117:        0     0        0     0     0
08.05.2024 08:54:28.117:        0     0        0     0     0
08.05.2024 08:55:28.117: pflog in      pflog out              
08.05.2024 08:55:28.118:  packets  errs  packets  errs colls
08.05.2024 08:55:28.118:        0     0        0     0     0
08.05.2024 08:56:28.117:        0     0        0     0     0
08.05.2024 08:57:28.117:        0     0        0     0     0
08.05.2024 08:58:28.117:        0     0        0     0     0
08.05.2024 08:59:28.117:        0     0        0     0     0
08.05.2024 09:00:28.117:        0     0        0     0     0
08.05.2024 09:01:28.117:        0     0        0     0     0
08.05.2024 09:02:28.117:        0     0        0     0     0
08.05.2024 09:03:28.117:        0     0        0     0     0
08.05.2024 09:04:28.117:        0     0        0     0     0
08.05.2024 09:05:28.117:        0     0        0     0     0
08.05.2024 09:06:28.117:        0     0        0     0     0
08.05.2024 09:07:28.117:        0     0        0     0     0
08.05.2024 09:08:28.117:        0     0        0     0     0
08.05.2024 09:09:28.117:        0     0        0     0     0
08.05.2024 09:10:28.117:        0     0        0     0     0
08.05.2024 09:11:28.117:        0     0        0     0     0
08.05.2024 09:12:28.117:        0     0        0     0     0
08.05.2024 09:13:28.117:        0     0        0     0     0
08.05.2024 09:14:28.117:        0     0        0     0     0
08.05.2024 09:15:28.118:        0     0        0     0     0
08.05.2024 09:16:28.118: pflog in      pflog out              
08.05.2024 09:16:28.118:  packets  errs  packets  errs colls
08.05.2024 09:16:28.119:        0     0        0     0     0
08.05.2024 09:17:28.117:        0     0        0     0     0
08.05.2024 09:18:28.118:        0     0        0     0     0
08.05.2024 09:19:28.117:        0     0        0     0     0
08.05.2024 09:20:28.117:        0     0        0     0     0
08.05.2024 09:21:28.117:        0     0        0     0     0
08.05.2024 09:22:28.117:        0     0        0     0     0
08.05.2024 09:23:28.117:        0     0        0     0     0
08.05.2024 09:24:28.117:        0     0        0     0     0
08.05.2024 09:25:28.117:        0     0        0     0     0
08.05.2024 09:26:28.117:        0     0        0     0     0
08.05.2024 09:27:28.117:        0     0        0     0     0
08.05.2024 09:28:28.117:        0     0        0     0     0
08.05.2024 09:29:28.117:        0     0        0     0     0
08.05.2024 09:30:28.117:        0     0        0     0     0
08.05.2024 09:31:28.117:        0     0        0     0     0
08.05.2024 09:32:28.117:        0     0        0     0     0
08.05.2024 09:33:28.117:        0     0        0     0     0
08.05.2024 09:34:28.117:        0     0        0     0     0
08.05.2024 09:35:28.117:        0     0        0     0     0
08.05.2024 09:36:28.117:        0     0        0     0     0
08.05.2024 09:37:28.117: pflog in      pflog out              
08.05.2024 09:37:28.118:  packets  errs  packets  errs colls
08.05.2024 09:37:28.118:        0     0        0     0     0
08.05.2024 09:38:28.117:        0     0        0     0     0
08.05.2024 09:39:28.117:        0     0        0     0     0
08.05.2024 09:40:28.117:        0     0        0     0     0
08.05.2024 09:41:28.117:        0     0        0     0     0
08.05.2024 09:42:28.117:        0     0        0     0     0
08.05.2024 09:43:28.117:        0     0        0     0     0
08.05.2024 09:44:28.117:        0     0        0     0     0
08.05.2024 09:45:28.117:        0     0        0     0     0
08.05.2024 09:46:28.117:        0     0        0     0     0
08.05.2024 09:47:28.117:        0     0        0     0     0
